order_id,product_id,customer_id,quantity,price,discount_pct,discount_amount,order_value,shipping_cost,order_date,shipping_date,shipping_city,sales_channel,payment_method,order_status
18467618,20967,988365,1,131.95,10,13.2,118.75,0.0,2026-06-26,2026-06-27,Budapest,Website,Card,Completed
86361783,51232,270015,1,25.36,0,0.0,25.36,3.63,2025-09-26,2025-10-03,Székesfehérvár,Retail Store,Bank Transfer,Completed
27612508,85983,225293,3,93.47,0,0.0,280.41,0.0,2025-07-25,2025-07-31,Budapest,Website,Google Pay,Completed
80403123,20967,619421,5,129.57,0,0.0,647.85,0.0,2025-01-27,2025-01-29,Budapest,Website,Apple Pay,Completed
92605208,37136,693413,2,48.95,5,4.9,93.0,6.83,2025-08-27,2025-08-28,Budapest,Website,Card,Completed
64218549,26644,160490,3,64.67,0,0.0,194.01,0.0,2025-10-28,2025-10-30,Budapest,Website,Apple Pay,Completed
74606487,20967,652094,1,132.53,0,0.0,132.53,0.0,2025-02-09,2025-02-13,Budapest,Website,Bank Transfer,Completed
98977123,20967,458514,1,131.58,10,13.16,118.42,5.03,2026-08-08,2026-08-08,Debrecen,Website,Card,Completed
37980886,20967,997131,1,128.15,0,0.0,128.15,0.0,2025-11-10,2025-11-11,Szombathely,Website,Apple Pay,Completed
11361269,86989,364783,1,89.5,0,0.0,89.5,4.92,2026-08-26,2026-08-31,Érd,Website,Card,Completed
24755545,45415,698871,3,68.46,0,0.0,205.38,0.0,2025-06-03,2025-06-05,Budapest,Website,Card,Completed
83091566,20967,676533,1,131.75,10,13.18,118.57,0.0,2026-07-07,2026-07-11,Budapest,Website,Card,Completed
14028304,51232,897974,1,24.69,10,2.47,22.22,6.1,2025-05-02,2025-05-03,Szeged,Marketplace,Card,Completed
90477053,49073,895547,5,92.62,15,69.47,393.63,0.0,2025-02-01,2025-02-07,Győr,Website,Card,Completed
42026093,49073,955347,1,89.96,0,0.0,89.96,8.57,2026-08-11,2026-08-11,Budapest,Website,Card,Completed
99736312,39892,355971,2,117.23,15,35.17,199.29,0.0,2025-05-18,2025-05-21,Budapest,Website,Card,Completed
68006294,85983,535303,1,96.38,0,0.0,96.38,7.36,2026-07-12,2026-07-15,Nyíregyháza,Website,Card,Completed
73687614,17471,987761,1,30.68,0,0.0,30.68,7.18,2025-01-10,2025-01-13,Pécs,Website,Card,Completed
63345560,51232,235610,2,25.96,20,10.38,41.54,4.77,2026-05-25,2026-05-29,Budapest,Website,Card,Completed
23486117,45415,507765,1,68.38,10,6.84,61.54,6.26,2026-06-05,2026-06-06,Székesfehérvár,Website,Google Pay,Completed
57609976,23801,258927,1,35.8,0,0.0,35.8,7.08,2025-06-21,2025-06-23,Sopron,Website,PayPal,Completed
55885190,51232,574494,2,24.6,0,0.0,49.2,4.53,2025-04-13,2025-04-18,Győr,Marketplace,PayPal,Completed
87566078,85983,830998,1,98.11,10,9.81,88.3,0.0,2026-01-02,,Tatabánya,Mobile App,PayPal,Cancelled
98552498,49073,439918,1,90.94,5,4.55,86.39,4.92,2026-05-27,2026-05-28,Budapest,Website,Card,Completed
85806121,51232,731977,2,25.49,0,0.0,50.98,6.15,2025-10-06,2025-10-11,Budapest,Mobile App,PayPal,Completed
46879218,86989,963120,1,92.82,0,0.0,92.82,8.63,2025-06-08,2025-06-09,Debrecen,Website,Apple Pay,Returned
93713167,23801,356196,1,36.37,5,1.82,34.55,5.66,2025-12-23,2025-12-26,Pécs,Mobile App,Card,Completed
26375689,49073,309026,2,92.37,20,36.95,147.79,0.0,2025-05-16,2025-05-17,Győr,Mobile App,Card,Completed
42220088,49073,409141,1,89.41,5,4.47,84.94,7.48,2025-07-01,2025-07-07,Budapest,Mobile App,PayPal,Completed
62169930,45415,293412,1,69.99,0,0.0,69.99,6.34,2025-12-11,2025-12-13,Budapest,Website,Cash on Delivery,Completed
30577436,37136,564433,4,48.69,5,9.74,185.02,0.0,2025-12-25,2025-12-30,Pécs,Website,Card,Completed
86604265,49073,157771,1,90.18,25,22.55,67.63,7.21,2026-05-19,2026-05-20,Miskolc,Website,Cash on Delivery,Completed
46289471,20967,159275,1,132.45,15,19.87,112.58,0.0,2026-07-21,2026-07-25,Győr,Website,Google Pay,Completed
29599579,85983,276421,1,95.49,15,14.32,81.17,8.74,2025-07-22,2025-07-26,Pécs,Website,Cash on Delivery,Completed
98075932,15378,410187,2,177.61,0,0.0,355.22,7.02,2026-05-15,2026-05-17,Debrecen,Mobile App,Card,Completed
75536397,37136,367402,1,51.43,0,0.0,51.43,8.88,2025-11-09,2025-11-12,Érd,Marketplace,Card,Completed
